JobTitle,URL,Company,Location,Description,Date,Salary,DateScraped
"Forward Deployed Software Engineer, Destinations",https://indeed.com/rc/clk?jk=aa9abc59cca73ae5&fccid=255a9ede46e025c0&vjs=3,The Commons Project,New York NY,"Combination of software development and SI experience.
Delivering high quality software in-line with product and business requirements.",30+ days ago,Unknown,2021-06-18 01:10:35.597267
Software Engineer - Platform,https://indeed.com/company/TrialSpark/jobs/Software-Engineer-1e2b812fc7c0bd4f?fccid=eaa040822963f53b&vjs=3,TrialSpark,New York NY,You will collaborate with an impressive team of systems-oriented engineers to build and deploy systems that underpin our clinical trial platform.,13 days ago,Unknown,2021-06-18 01:10:35.598261
Full Stack/Frontend Engineer - SageMaker Studio,https://indeed.com/rc/clk?jk=8457670a7afac267&fccid=fe2d21eef233e94a&vjs=3,Amazon.com Services LLC,New York NY,"Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews…",30 days ago,Unknown,2021-06-18 01:10:35.598261
Software Engineer - Digital Assets,https://indeed.com/rc/clk?jk=73be936e0ce023bb&fccid=16a97ed26c75bf2d&vjs=3,Goldman Sachs,New York NY ,"Strong proficiency in smart contract programming using Solidity, Java, Go, Rust, etc., design blockchain and DeFi applications with performance, resiliency,…",30+ days ago,Unknown,2021-06-18 01:10:35.599258
Full Stack Developer,https://indeed.com/rc/clk?jk=d0613b4e5ae6d9df&fccid=430cffbf1c607717&vjs=3,MassMutual,New York NY ,"Experience with traditional object-oriented languages (e.g. Java, Python, C++).
Experience and familiarity with financial services or other mathematically…",30+ days ago,Unknown,2021-06-18 01:10:35.600256
,https://indeed.com/rc/clk?jk=f2766e7c9717c87e&fccid=3e34ac4ae73849ba&vjs=3,Medidata Solutions,New York NY ,"Experience with cloud technology such as AWS, docker, kubernete and/or others.
Help the team build meaningful test data sets based upon real-world production…",2 days ago,Unknown,2021-06-18 01:10:35.601253
Software Engineer (Risk),https://indeed.com/rc/clk?jk=3f137b8ff26d04de&fccid=328f17e52aff4d8d&vjs=3,Lukka,New York NY ,We constantly strive to improve our processes and have automated some of the control checks to be proactively alerted for any non-compliance.,23 days ago,Unknown,2021-06-18 01:10:35.601253
Machine Learning Engineer,https://indeed.com/rc/clk?jk=1d40163028f1f101&fccid=fe2d21eef233e94a&vjs=3,"Amazon Web Services, Inc.",New York NY,"The ideal candidate is an experienced and highly-independent software engineer, who is comfortable working on cross-functional teams.",30+ days ago,Unknown,2021-06-18 01:10:35.602250
Machine Learning Engineer,https://indeed.com/rc/clk?jk=df79628e833f53be&fccid=4d17dd64ea6355de&vjs=3,Analytic Partners,New York NY ,"The team is comprised of motivated full-stack machine learning engineers and covers from backend solution design, modeling, to frontend development.",30+ days ago,Unknown,2021-06-18 01:10:35.603248
Fullstack Software Engineer,https://indeed.com/rc/clk?jk=36482b385cea53a3&fccid=c853f7a628ce4b9a&vjs=3,K Health,New York NY ,"4+ years of software engineering experience building web/backend systems.
Experienced in designing and developing services using Python, NodeJS, React or…",Active 5 days ago,Unknown,2021-06-18 01:10:35.604245
